CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment_Level
CK-25952,1710,1,547,5,5,5,555,Platinum
RW-96301,2248,1,546,5,5,5,555,Platinum
PK-90751,1589,1,533,5,5,5,555,Platinum
NP-83252,1958,1,531,5,5,5,555,Platinum
PS-87601,1442,1,531,5,5,5,555,Platinum
LW-171251,1620,1,529,5,5,5,555,Platinum
GM-46801,2170,1,522,5,5,5,555,Platinum
KD-64952,1807,2,517,5,5,5,555,Platinum
CW-19052,2335,1,514,5,5,5,555,Platinum
SN-107102,1471,2,510,5,5,5,555,Platinum
SP-108601,1493,2,503,5,5,5,555,Platinum
CS-125052,1921,1,503,5,5,5,555,Platinum
JE-57451,1920,1,499,5,5,5,555,Platinum
AA-4801,1970,2,496,5,5,5,555,Platinum
JC-157753,1545,2,495,5,5,5,555,Platinum
RO-97802,2100,2,482,5,5,5,555,Platinum
BD-16052,1447,2,481,5,5,5,555,Platinum
DB-31202,1453,2,465,5,5,5,555,Platinum
PG-88201,2537,1,459,5,5,5,555,Platinum
PK-90752,1642,2,459,5,5,5,555,Platinum
GH-44852,1473,1,449,5,5,5,555,Platinum
GB-45752,2013,2,449,5,5,5,555,Platinum
SN-105602,2507,1,441,5,5,5,555,Platinum
DC-132851,1545,2,440,5,5,5,555,Platinum
JS-60302,1797,1,431,5,5,5,555,Platinum
DW-35402,2290,1,428,5,5,5,555,Platinum
CT-19951,1878,2,424,5,5,5,555,Platinum
TB-111901,1486,2,424,5,5,5,555,Platinum
EB-37052,2418,1,422,5,5,5,555,Platinum
LR-69152,1779,2,419,5,5,5,555,Platinum
EB-141702,1452,1,419,5,5,5,555,Platinum
RB-94651,2306,1,418,5,5,5,555,Platinum
CA-23102,1599,2,414,5,5,5,555,Platinum
AG-3901,2215,2,414,5,5,5,555,Platinum
BT-114854,1754,2,415,5,5,5,555,Platinum
DV-134652,1503,2,412,5,5,5,555,Platinum
AM-7053,1986,1,411,5,5,5,555,Platinum
AB-1652,1804,1,411,5,5,5,555,Platinum
SZ-100351,2051,1,409,5,5,5,555,Platinum
PH-187902,1892,1,408,5,5,5,555,Platinum
BF-112751,1831,1,407,5,5,5,555,Platinum
TC-115352,1465,1,405,5,5,5,555,Platinum
EH-37652,2214,1,405,5,5,5,555,Platinum
NG-83552,1790,2,403,5,5,5,555,Platinum
BE-14552,1641,1,403,5,5,5,555,Platinum
NF-83852,1646,1,402,5,5,5,555,Platinum
RD-199302,2242,2,399,5,5,5,555,Platinum
TS-116101,2418,1,397,5,5,5,555,Platinum
MW-82352,1879,1,397,5,5,5,555,Platinum
EB-41702,1799,2,396,5,5,5,555,Platinum
MC-78451,1457,2,384,5,5,5,555,Platinum
CG-120402,1478,2,373,5,5,5,555,Platinum
SS-105151,1872,1,373,5,5,5,555,Platinum
LS-172304,1872,3,368,5,5,5,555,Platinum
RD-94803,1922,2,363,5,5,5,555,Platinum
IM-150551,1606,2,362,5,5,5,555,Platinum
NG-83551,2158,2,358,5,5,5,555,Platinum
LF-71851,1879,2,351,5,5,5,555,Platinum
DB-131201,2012,3,350,5,5,5,555,Platinum
LW-72153,1563,1,349,5,5,5,555,Platinum
JM-58652,1858,1,349,5,5,5,555,Platinum
MG-81452,2439,1,348,5,5,5,555,Platinum
ON-87151,2094,2,346,5,5,5,555,Platinum
MT-78151,1621,2,344,5,5,5,555,Platinum
BM-16501,2284,2,341,5,5,5,555,Platinum
CM-24451,2110,1,341,5,5,5,555,Platinum
KH-66301,2032,1,340,5,5,5,555,Platinum
HK-48902,1703,1,336,5,5,5,555,Platinum
NW-84002,1772,1,334,5,5,5,555,Platinum
NC-86251,1556,1,339,5,5,5,555,Platinum
SB-101852,2194,2,332,5,5,5,555,Platinum
SC-105751,1468,2,328,5,5,5,555,Platinum
NB-85803,1731,2,327,5,5,5,555,Platinum
MH-74402,2209,1,326,5,5,5,555,Platinum
PF-91202,1508,1,322,5,5,5,555,Platinum
KN-67051,2385,1,318,5,5,5,555,Platinum
MV-74852,1914,3,317,5,5,5,555,Platinum
JG-51602,1744,2,315,5,5,5,555,Platinum
MM-72602,2554,1,314,5,5,5,555,Platinum
LH-67501,1852,2,312,5,5,5,555,Platinum
CB-124151,2221,1,311,5,5,5,555,Platinum
BS-13802,1522,2,310,5,5,5,555,Platinum
VM-218353,2279,1,308,5,5,5,555,Platinum
XP-118651,1761,2,304,5,5,5,555,Platinum
MG-76501,1590,1,302,5,5,5,555,Platinum
AG-2702,1614,1,296,5,5,5,555,Platinum
RA-92852,1592,1,295,5,5,5,555,Platinum
RW-96901,2299,2,294,5,5,5,555,Platinum
PR-88802,1832,1,289,5,5,5,555,Platinum
PR-88803,2320,2,279,5,5,5,555,Platinum
NB-185804,2261,2,274,5,5,5,555,Platinum
TZ-115802,1937,2,271,5,5,5,555,Platinum
SE-101101,2020,1,271,5,5,5,555,Platinum
MH-74403,1792,2,268,5,5,5,555,Platinum
BF-11701,1645,2,268,5,5,5,555,Platinum
RB-95701,2035,2,267,5,5,5,555,Platinum
PL-89251,1454,2,261,5,5,5,555,Platinum
DL-28652,1596,1,256,5,5,5,555,Platinum
DF-31352,2020,2,252,5,5,5,555,Platinum
TT-212652,1571,1,251,5,5,5,555,Platinum
GT-47552,1815,1,249,5,5,5,555,Platinum
JW-59551,2021,1,249,5,5,5,555,Platinum
JR-62103,1657,2,248,5,5,5,555,Platinum
AH-104652,1575,2,251,5,5,5,555,Platinum
DM-35251,2245,1,246,5,5,5,555,Platinum
RP-92701,2224,2,238,5,5,5,555,Platinum
LP-70952,1671,1,238,5,5,5,555,Platinum
GP-147404,1860,2,237,5,5,5,555,Platinum
PP-89551,2159,2,232,5,5,5,555,Platinum
DC-32852,1487,2,227,5,5,5,555,Platinum
BO-113503,2209,3,225,5,5,5,555,Platinum
EH-39452,2445,1,223,5,5,5,555,Platinum
NL-83101,1670,1,222,5,5,5,555,Platinum
SS-104101,1494,2,222,5,5,5,555,Platinum
OT-87301,1566,2,220,5,5,5,555,Platinum
CD-19202,1487,2,219,5,5,5,555,Platinum
RA-99152,1682,1,219,5,5,5,555,Platinum
KB-65851,1466,2,217,5,5,5,555,Platinum
JE-61652,1577,2,213,5,5,5,555,Platinum
SM-209053,1468,2,211,5,5,5,555,Platinum
DB-31201,1767,2,206,5,5,5,555,Platinum
PO-88652,2035,1,205,5,5,5,555,Platinum
KD-163453,2487,1,201,5,5,5,555,Platinum
KM-63752,1660,1,197,5,5,5,555,Platinum
JJ-157604,1848,2,195,5,5,5,555,Platinum
DJ-35102,1677,1,194,5,5,5,555,Platinum
LS-69452,1704,1,194,5,5,5,555,Platinum
EP-39152,2378,1,193,5,5,5,555,Platinum
EM-40952,1972,1,193,5,5,5,555,Platinum
TB-110551,1951,1,193,5,5,5,555,Platinum
FH-43651,1461,1,192,5,5,5,555,Platinum
MK-79052,1475,2,187,5,5,5,555,Platinum
AH-2102,1552,2,187,5,5,5,555,Platinum
AS-1351,2061,1,187,5,5,5,555,Platinum
CS-22501,2284,1,179,5,5,5,555,Platinum
JC-53402,1866,1,178,5,5,5,555,Platinum
BP-11552,2069,1,175,5,5,5,555,Platinum
RD-96602,2468,1,175,5,5,5,555,Platinum
RF-98401,2231,1,173,5,5,5,555,Platinum
EB-37501,2229,1,173,5,5,5,555,Platinum
SV-109351,1922,2,172,5,5,5,555,Platinum
EK-37951,1488,2,174,5,5,5,555,Platinum
RB-93601,1625,2,171,5,5,5,555,Platinum
KT-164803,1640,2,170,5,5,5,555,Platinum
JR-62102,1593,1,169,5,5,5,555,Platinum
ED-38851,1850,2,166,5,5,5,555,Platinum
JK-56401,1989,1,164,5,5,5,555,Platinum
TS-113402,1500,1,163,5,5,5,555,Platinum
ME-80101,1487,1,161,5,5,5,555,Platinum
